qseqid,y_true_idx,y_true_name,y_pred_idx,y_pred_name,p_riboswitch,qseqid_full,id_global,group_id,qid_short
query_1,0,genomicbackground,1,riboswitch,0.5863227844238281,1_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_0_percentage_0_position_0-0 genomicbackground,1,6,1_6
query_2,0,genomicbackground,0,genomicbackground,0.03003932721912861,2_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_5_percentage_0_position_0-0 genomicbackground,2,6,2_6
query_3,0,genomicbackground,0,genomicbackground,0.26127302646636963,3_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_10_percentage_0_position_0-0 genomicbackground,3,6,3_6
query_4,0,genomicbackground,0,genomicbackground,0.12120644748210907,4_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_15_percentage_0_position_0-0 genomicbackground,4,6,4_6
query_5,0,genomicbackground,0,genomicbackground,0.002948935143649578,5_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_20_percentage_0_position_0-0 genomicbackground,5,6,5_6
query_6,0,genomicbackground,0,genomicbackground,0.0019066785462200642,6_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_25_percentage_0_position_0-0 genomicbackground,6,6,6_6
query_7,0,genomicbackground,0,genomicbackground,0.12095621973276138,7_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_30_percentage_0_position_0-0 genomicbackground,7,6,7_6
query_8,0,genomicbackground,1,riboswitch,0.6386570334434509,8_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_35_percentage_0_position_0-0 genomicbackground,8,6,8_6
query_9,0,genomicbackground,0,genomicbackground,0.17155048251152039,9_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_40_percentage_0_position_0-0 genomicbackground,9,6,9_6
query_10,0,genomicbackground,0,genomicbackground,0.06031867116689682,10_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_45_percentage_0_position_0-0 genomicbackground,10,6,10_6
query_11,0,genomicbackground,0,genomicbackground,0.07509347051382065,11_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_50_percentage_0_position_0-0 genomicbackground,11,6,11_6
query_12,0,genomicbackground,0,genomicbackground,0.03945382311940193,12_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_55_percentage_0_position_0-0 genomicbackground,12,6,12_6
query_13,0,genomicbackground,0,genomicbackground,0.06616219878196716,13_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_60_percentage_0_position_0-0 genomicbackground,13,6,13_6
query_14,0,genomicbackground,0,genomicbackground,0.03191964700818062,14_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_65_percentage_0_position_0-0 genomicbackground,14,6,14_6
query_15,0,genomicbackground,0,genomicbackground,0.007204405497759581,15_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_70_percentage_0_position_0-0 genomicbackground,15,6,15_6
query_16,0,genomicbackground,0,genomicbackground,0.008836619555950165,16_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_75_percentage_0_position_0-0 genomicbackground,16,6,16_6
query_17,0,genomicbackground,1,riboswitch,0.8304628133773804,17_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_80_percentage_0_position_0-0 genomicbackground,17,6,17_6
query_18,0,genomicbackground,0,genomicbackground,0.19788122177124023,18_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_85_percentage_0_position_0-0 genomicbackground,18,6,18_6
query_19,0,genomicbackground,0,genomicbackground,0.09022863954305649,19_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_90_percentage_0_position_0-0 genomicbackground,19,6,19_6
query_20,0,genomicbackground,0,genomicbackground,0.07761082053184509,20_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_95_percentage_0_position_0-0 genomicbackground,20,6,20_6
query_21,0,genomicbackground,0,genomicbackground,0.01606617495417595,21_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_100_percentage_0_position_0-0 genomicbackground,21,6,21_6
query_22,0,genomicbackground,0,genomicbackground,0.036918677389621735,22_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_95_off_105_percentage_0_position_0-0 genomicbackground,22,6,22_6
query_23,0,genomicbackground,0,genomicbackground,0.08752407878637314,23_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_100_off_0_percentage_0_position_0-0 genomicbackground,23,6,23_6
query_24,0,genomicbackground,0,genomicbackground,0.09205023944377899,24_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_100_off_5_percentage_0_position_0-0 genomicbackground,24,6,24_6
query_25,0,genomicbackground,0,genomicbackground,0.1607964038848877,25_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_100_off_10_percentage_0_position_0-0 genomicbackground,25,6,25_6
query_26,0,genomicbackground,0,genomicbackground,0.05725200101733208,26_6_RF00168_6_NC_000913.3_4233124-4233721_ext_0-200_int_100_off_15_percentage_0_position_0-0 genomicbackground,26,6,26_6
