>1_4	p_riboswitch=0.002591
>2_4	p_riboswitch=0.002762
>3_4	p_riboswitch=0.004295
>4_4	p_riboswitch=0.004129
>5_4	p_riboswitch=0.004063
>6_4	p_riboswitch=0.001789
>7_4	p_riboswitch=0.004167
>8_4	p_riboswitch=0.007073
>9_4	p_riboswitch=0.006807
>10_4	p_riboswitch=0.006505
>11_4	p_riboswitch=0.002839
>12_4	p_riboswitch=0.006164
>13_4	p_riboswitch=0.005233
>14_4	p_riboswitch=0.004976
>15_4	p_riboswitch=0.004357
>16_4	p_riboswitch=0.011354
>17_4	p_riboswitch=0.003839
>18_4	p_riboswitch=0.003790
>19_4	p_riboswitch=0.009808
>20_4	p_riboswitch=0.004835
>21_4	p_riboswitch=0.004548
>22_4	p_riboswitch=0.006939
>23_4	p_riboswitch=0.002626
>24_4	p_riboswitch=0.003705
>25_4	p_riboswitch=0.004300
>26_4	p_riboswitch=0.004909
>27_4	p_riboswitch=0.002018
>28_4	p_riboswitch=0.005467
>29_4	p_riboswitch=0.005431
>30_4	p_riboswitch=0.007126
>31_4	p_riboswitch=0.006881
>32_4	p_riboswitch=0.005370
>33_4	p_riboswitch=0.005708
>34_4	p_riboswitch=0.002733
>35_4	p_riboswitch=0.003596
>36_4	p_riboswitch=0.005043
>37_4	p_riboswitch=0.007114
>38_4	p_riboswitch=0.007092
>39_4	p_riboswitch=0.003807
>40_4	p_riboswitch=0.004107
>41_4	p_riboswitch=0.002621
>42_4	p_riboswitch=0.005996
>43_4	p_riboswitch=0.004924
>44_4	p_riboswitch=0.005326
>45_4	p_riboswitch=0.003900
>46_4	p_riboswitch=0.005164
>47_4	p_riboswitch=0.005419
>48_4	p_riboswitch=0.002189
>49_4	p_riboswitch=0.005028
>50_4	p_riboswitch=0.005894
>51_4	p_riboswitch=0.007077
>52_4	p_riboswitch=0.004449
>53_4	p_riboswitch=0.008367
>54_4	p_riboswitch=0.002778
>55_4	p_riboswitch=0.004128
>56_4	p_riboswitch=0.003724
>57_4	p_riboswitch=0.007068
>58_4	p_riboswitch=0.007557
>59_4	p_riboswitch=0.006926
>60_4	p_riboswitch=0.005932
>61_4	p_riboswitch=0.005432
>62_4	p_riboswitch=0.011614
>63_4	p_riboswitch=0.007122
>64_4	p_riboswitch=0.005485
>65_4	p_riboswitch=0.004669
>66_4	p_riboswitch=0.005656
>67_4	p_riboswitch=0.005365
>68_4	p_riboswitch=0.001102
>69_4	p_riboswitch=0.005496
>70_4	p_riboswitch=0.006130
>71_4	p_riboswitch=0.005165
>72_4	p_riboswitch=0.004529
>73_4	p_riboswitch=0.004161
>74_4	p_riboswitch=0.004105
>75_4	p_riboswitch=0.004232
>76_4	p_riboswitch=0.004606
>77_4	p_riboswitch=0.004838
>78_4	p_riboswitch=0.009856
>79_4	p_riboswitch=0.011287
>80_4	p_riboswitch=0.006570
>81_4	p_riboswitch=0.006488
>82_4	p_riboswitch=0.010853
>83_4	p_riboswitch=0.005284
>84_4	p_riboswitch=0.005195
>85_4	p_riboswitch=0.005620
>86_4	p_riboswitch=0.005556
>87_4	p_riboswitch=0.000954
>88_4	p_riboswitch=0.005947
>89_4	p_riboswitch=0.006460
>90_4	p_riboswitch=0.005538
>91_4	p_riboswitch=0.003640
>92_4	p_riboswitch=0.003338
>93_4	p_riboswitch=0.004318
>94_4	p_riboswitch=0.004968
>95_4	p_riboswitch=0.004202
>96_4	p_riboswitch=0.004741
>97_4	p_riboswitch=0.011436
>98_4	p_riboswitch=0.011308
>99_4	p_riboswitch=0.002342
>100_4	p_riboswitch=0.007364
>101_4	p_riboswitch=0.005778
>102_4	p_riboswitch=0.004455
>103_4	p_riboswitch=0.005818
>104_4	p_riboswitch=0.006014
>105_4	p_riboswitch=0.000997
>106_4	p_riboswitch=0.001790
>107_4	p_riboswitch=0.007074
>108_4	p_riboswitch=0.004680
>109_4	p_riboswitch=0.003597
>110_4	p_riboswitch=0.003515
>111_4	p_riboswitch=0.004927
>112_4	p_riboswitch=0.003721
>113_4	p_riboswitch=0.004372
>114_4	p_riboswitch=0.007500
>115_4	p_riboswitch=0.011290
>116_4	p_riboswitch=0.003438
>117_4	p_riboswitch=0.002444
>118_4	p_riboswitch=0.005602
>119_4	p_riboswitch=0.004588
>120_4	p_riboswitch=0.006246
>121_4	p_riboswitch=0.006142
>122_4	p_riboswitch=0.001906
>123_4	p_riboswitch=0.002126
>124_4	p_riboswitch=0.004697
>125_4	p_riboswitch=0.004235
>126_4	p_riboswitch=0.003713
>127_4	p_riboswitch=0.004123
>128_4	p_riboswitch=0.003690
>129_4	p_riboswitch=0.003846
>130_4	p_riboswitch=0.005003
>131_4	p_riboswitch=0.008062
>132_4	p_riboswitch=0.010735
>133_4	p_riboswitch=0.003486
>134_4	p_riboswitch=0.005582
>135_4	p_riboswitch=0.005194
>136_4	p_riboswitch=0.006436
>137_4	p_riboswitch=0.004485
>138_4	p_riboswitch=0.001326
>139_4	p_riboswitch=0.001996
>140_4	p_riboswitch=0.002220
>141_4	p_riboswitch=0.004337
>142_4	p_riboswitch=0.004189
>143_4	p_riboswitch=0.004091
>144_4	p_riboswitch=0.003800
>145_4	p_riboswitch=0.004330
>146_4	p_riboswitch=0.004964
>147_4	p_riboswitch=0.006736
>148_4	p_riboswitch=0.010477
>149_4	p_riboswitch=0.002296
>150_4	p_riboswitch=0.005530
>151_4	p_riboswitch=0.004765
>152_4	p_riboswitch=0.004659
>153_4	p_riboswitch=0.002263
>154_4	p_riboswitch=0.003801
>155_4	p_riboswitch=0.002104
>156_4	p_riboswitch=0.004923
>157_4	p_riboswitch=0.003707
>158_4	p_riboswitch=0.004339
>159_4	p_riboswitch=0.004168
>160_4	p_riboswitch=0.004368
>161_4	p_riboswitch=0.002248
>162_4	p_riboswitch=0.003212
>163_4	p_riboswitch=0.002354
>164_4	p_riboswitch=0.004461
>165_4	p_riboswitch=0.004901
>166_4	p_riboswitch=0.001375
>167_4	p_riboswitch=0.004505
>168_4	p_riboswitch=0.004082
>169_4	p_riboswitch=0.004345
>170_4	p_riboswitch=0.004451
>171_4	p_riboswitch=0.003681
>172_4	p_riboswitch=0.004767
>173_4	p_riboswitch=0.004217
>174_4	p_riboswitch=0.002157
>175_4	p_riboswitch=0.002298
>176_4	p_riboswitch=0.004951
>177_4	p_riboswitch=0.004496
>178_4	p_riboswitch=0.004253
>179_4	p_riboswitch=0.003567
>180_4	p_riboswitch=0.004842
>181_4	p_riboswitch=0.004601
>182_4	p_riboswitch=0.003775
>183_4	p_riboswitch=0.004123
>184_4	p_riboswitch=0.004434
>185_4	p_riboswitch=0.004806
>186_4	p_riboswitch=0.002153
>187_4	p_riboswitch=0.002207
>188_4	p_riboswitch=0.004921
>189_4	p_riboswitch=0.005710
>190_4	p_riboswitch=0.003850
>191_4	p_riboswitch=0.003710
>192_4	p_riboswitch=0.005374
>193_4	p_riboswitch=0.003882
>194_4	p_riboswitch=0.003672
>195_4	p_riboswitch=0.004147
>196_4	p_riboswitch=0.004593
>197_4	p_riboswitch=0.002251
>198_4	p_riboswitch=0.002192
>199_4	p_riboswitch=0.007061
>200_4	p_riboswitch=0.003524
>201_4	p_riboswitch=0.004001
>202_4	p_riboswitch=0.004126
>203_4	p_riboswitch=0.007023
>204_4	p_riboswitch=0.003713
>205_4	p_riboswitch=0.004462
>206_4	p_riboswitch=0.004500
>207_4	p_riboswitch=0.004192
>208_4	p_riboswitch=0.002291
>209_4	p_riboswitch=0.004345
>210_4	p_riboswitch=0.003660
>211_4	p_riboswitch=0.004437
>212_4	p_riboswitch=0.005342
>213_4	p_riboswitch=0.004655
>214_4	p_riboswitch=0.004259
>215_4	p_riboswitch=0.004203
>216_4	p_riboswitch=0.004425
>217_4	p_riboswitch=0.004430
>218_4	p_riboswitch=0.005028
>219_4	p_riboswitch=0.004081
>220_4	p_riboswitch=0.004720
>221_4	p_riboswitch=0.005163
>222_4	p_riboswitch=0.005292
>223_4	p_riboswitch=0.005180
>224_4	p_riboswitch=0.003996
>225_4	p_riboswitch=0.004250
>226_4	p_riboswitch=0.005480
