qseqid,y_true_idx,y_true_name,y_pred_idx,y_pred_name,p_riboswitch,qseqid_full,id_global,group_id,qid_short
query_1,0,genomicbackground,0,genomicbackground,0.0025910704862326384,1_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_0_percentage_0_position_0-0 genomicbackground,1,4,1_4
query_2,0,genomicbackground,0,genomicbackground,0.002762160263955593,2_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_5_percentage_0_position_0-0 genomicbackground,2,4,2_4
query_3,0,genomicbackground,0,genomicbackground,0.004295002669095993,3_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_10_percentage_0_position_0-0 genomicbackground,3,4,3_4
query_4,0,genomicbackground,0,genomicbackground,0.004129163920879364,4_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_15_percentage_0_position_0-0 genomicbackground,4,4,4_4
query_5,0,genomicbackground,0,genomicbackground,0.004062852822244167,5_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_20_percentage_0_position_0-0 genomicbackground,5,4,5_4
query_6,0,genomicbackground,0,genomicbackground,0.0017888337606564164,6_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_25_percentage_0_position_0-0 genomicbackground,6,4,6_4
query_7,0,genomicbackground,0,genomicbackground,0.004166827537119389,7_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_30_percentage_0_position_0-0 genomicbackground,7,4,7_4
query_8,0,genomicbackground,0,genomicbackground,0.007072879932820797,8_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_35_percentage_0_position_0-0 genomicbackground,8,4,8_4
query_9,0,genomicbackground,0,genomicbackground,0.0068070488050580025,9_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_40_percentage_0_position_0-0 genomicbackground,9,4,9_4
query_10,0,genomicbackground,0,genomicbackground,0.006504734978079796,10_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_45_percentage_0_position_0-0 genomicbackground,10,4,10_4
query_11,0,genomicbackground,0,genomicbackground,0.002838956192135811,11_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_50_percentage_0_position_0-0 genomicbackground,11,4,11_4
query_12,0,genomicbackground,0,genomicbackground,0.00616432074457407,12_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_55_percentage_0_position_0-0 genomicbackground,12,4,12_4
query_13,0,genomicbackground,0,genomicbackground,0.005232693627476692,13_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_60_percentage_0_position_0-0 genomicbackground,13,4,13_4
query_14,0,genomicbackground,0,genomicbackground,0.0049756974913179874,14_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_65_percentage_0_position_0-0 genomicbackground,14,4,14_4
query_15,0,genomicbackground,0,genomicbackground,0.0043571279384195805,15_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_70_percentage_0_position_0-0 genomicbackground,15,4,15_4
query_16,0,genomicbackground,0,genomicbackground,0.011354000307619572,16_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_75_percentage_0_position_0-0 genomicbackground,16,4,16_4
query_17,0,genomicbackground,0,genomicbackground,0.003838800359517336,17_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_80_percentage_0_position_0-0 genomicbackground,17,4,17_4
query_18,0,genomicbackground,0,genomicbackground,0.0037896670401096344,18_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_85_percentage_0_position_0-0 genomicbackground,18,4,18_4
query_19,0,genomicbackground,0,genomicbackground,0.009808490052819252,19_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_90_percentage_0_position_0-0 genomicbackground,19,4,19_4
query_20,0,genomicbackground,0,genomicbackground,0.004835206549614668,20_4_RF00059_4_NC_000913.3_75310-75810_ext_0-200_int_95_off_95_percentage_0_position_0-0 genomicbackground,20,4,20_4
