>1_3	p_riboswitch=0.897237
>2_3	p_riboswitch=0.947372
>3_3	p_riboswitch=0.941647
>4_3	p_riboswitch=0.961344
>5_3	p_riboswitch=0.232761
>6_3	p_riboswitch=0.038946
>7_3	p_riboswitch=0.080398
>8_3	p_riboswitch=0.009204
>9_3	p_riboswitch=0.006808
>10_3	p_riboswitch=0.003374
>11_3	p_riboswitch=0.013873
>12_3	p_riboswitch=0.050934
>13_3	p_riboswitch=0.028808
>14_3	p_riboswitch=0.004484
>15_3	p_riboswitch=0.008031
>16_3	p_riboswitch=0.008044
>17_3	p_riboswitch=0.008321
>18_3	p_riboswitch=0.007468
>19_3	p_riboswitch=0.002882
>20_3	p_riboswitch=0.002567
>21_3	p_riboswitch=0.002650
>22_3	p_riboswitch=0.002921
>23_3	p_riboswitch=0.805774
>24_3	p_riboswitch=0.906638
>25_3	p_riboswitch=0.891922
>26_3	p_riboswitch=0.932952
>27_3	p_riboswitch=0.214942
>28_3	p_riboswitch=0.026506
>29_3	p_riboswitch=0.057237
>30_3	p_riboswitch=0.009029
>31_3	p_riboswitch=0.006523
>32_3	p_riboswitch=0.015685
>33_3	p_riboswitch=0.014978
>34_3	p_riboswitch=0.052592
>35_3	p_riboswitch=0.007904
>36_3	p_riboswitch=0.008532
>37_3	p_riboswitch=0.010081
>38_3	p_riboswitch=0.007078
>39_3	p_riboswitch=0.009119
>40_3	p_riboswitch=0.007516
>41_3	p_riboswitch=0.002802
>42_3	p_riboswitch=0.002521
>43_3	p_riboswitch=0.003108
>44_3	p_riboswitch=0.803988
>45_3	p_riboswitch=0.817625
>46_3	p_riboswitch=0.829110
>47_3	p_riboswitch=0.903590
>48_3	p_riboswitch=0.170608
>49_3	p_riboswitch=0.394829
>50_3	p_riboswitch=0.032633
>51_3	p_riboswitch=0.001595
>52_3	p_riboswitch=0.037500
>53_3	p_riboswitch=0.014823
>54_3	p_riboswitch=0.015973
>55_3	p_riboswitch=0.016025
>56_3	p_riboswitch=0.016115
>57_3	p_riboswitch=0.008680
>58_3	p_riboswitch=0.009271
>59_3	p_riboswitch=0.006465
>60_3	p_riboswitch=0.009105
>61_3	p_riboswitch=0.007507
>62_3	p_riboswitch=0.002735
>63_3	p_riboswitch=0.002940
>64_3	p_riboswitch=0.663984
>65_3	p_riboswitch=0.702962
>66_3	p_riboswitch=0.777737
>67_3	p_riboswitch=0.807132
>68_3	p_riboswitch=0.145025
>69_3	p_riboswitch=0.021064
>70_3	p_riboswitch=0.030434
>71_3	p_riboswitch=0.087441
