qseqid,y_true_idx,y_true_name,y_pred_idx,y_pred_name,p_riboswitch,qseqid_full,id_global,group_id,qid_short
query_1,0,genomicbackground,0,genomicbackground,0.0005393653409555554,1_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_0_percentage_0_position_0-0 genomicbackground,1,5,1_5
query_2,0,genomicbackground,0,genomicbackground,0.00040596825419925153,2_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_5_percentage_0_position_0-0 genomicbackground,2,5,2_5
query_3,0,genomicbackground,0,genomicbackground,0.0010999616933986545,3_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_10_percentage_0_position_0-0 genomicbackground,3,5,3_5
query_4,0,genomicbackground,0,genomicbackground,0.26669615507125854,4_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_15_percentage_0_position_0-0 genomicbackground,4,5,4_5
query_5,0,genomicbackground,0,genomicbackground,0.39980819821357727,5_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_20_percentage_0_position_0-0 genomicbackground,5,5,5_5
query_6,0,genomicbackground,1,riboswitch,0.8708568811416626,6_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_25_percentage_0_position_0-0 genomicbackground,6,5,6_5
query_7,0,genomicbackground,1,riboswitch,0.977120041847229,7_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_30_percentage_0_position_0-0 genomicbackground,7,5,7_5
query_8,0,genomicbackground,1,riboswitch,0.8721286654472351,8_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_35_percentage_0_position_0-0 genomicbackground,8,5,8_5
query_9,0,genomicbackground,1,riboswitch,0.7874574065208435,9_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_40_percentage_0_position_0-0 genomicbackground,9,5,9_5
query_10,0,genomicbackground,0,genomicbackground,0.399600088596344,10_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_45_percentage_0_position_0-0 genomicbackground,10,5,10_5
query_11,0,genomicbackground,0,genomicbackground,0.46603384613990784,11_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_50_percentage_0_position_0-0 genomicbackground,11,5,11_5
query_12,0,genomicbackground,0,genomicbackground,0.042925745248794556,12_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_55_percentage_0_position_0-0 genomicbackground,12,5,12_5
query_13,0,genomicbackground,0,genomicbackground,0.027334963902831078,13_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_60_percentage_0_position_0-0 genomicbackground,13,5,13_5
query_14,0,genomicbackground,0,genomicbackground,0.1331367939710617,14_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_65_percentage_0_position_0-0 genomicbackground,14,5,14_5
query_15,0,genomicbackground,0,genomicbackground,0.026855342090129852,15_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_70_percentage_0_position_0-0 genomicbackground,15,5,15_5
query_16,0,genomicbackground,0,genomicbackground,0.03047734871506691,16_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_75_percentage_0_position_0-0 genomicbackground,16,5,16_5
query_17,0,genomicbackground,0,genomicbackground,0.00920054316520691,17_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_80_percentage_0_position_0-0 genomicbackground,17,5,17_5
query_18,0,genomicbackground,0,genomicbackground,0.009464292787015438,18_5_RF00059_5_NC_000913.3_4195979-4196480_ext_0-200_int_95_off_85_percentage_0_position_0-0 genomicbackground,18,5,18_5
